dataset,rung,class,arch,seed,realization,q_src,F_src_at_q,F_tgt_at_q,signed_displacement_at_q,calibration_slack,undercoverage,KS_two_sided,KS_location,one_sided_up,one_sided_down,tail_mass_above_q_target,quantile_displacement,frac_of_KS_realised_at_q,n_src,n_tgt
ciciot2023,0.8,Recon,xgb,7,3,0.5544160008430481,0.9501192799826502,0.9519581056466302,-0.0018388256639799705,-0.00011927998265026662,-0.001958105646630237,0.01321999068513996,0.49915075302124023,0.01321999068513996,0.004373569736422667,0.04804189435336981,-0.03725274428725145,0.13909432372345903,23055,8784
ciciot2023,0.8,Spoofing,xgb,7,3,0.7981508821249008,0.9501391650099403,0.9489583333333333,0.001180831676606986,-0.0001391650099403785,0.0010416666666666075,0.012437044400265052,0.4748947322368622,0.004167495029821056,0.012437044400265052,0.05104166666666665,0.0018178783357145623,0.09494471826295166,12575,4800
ciciot2023,0.8,Web,xgb,7,3,0.9591958019882441,0.9508196721311475,0.9309494451294698,0.01987022700167773,-0.0008196721311475308,0.0190505548705302,0.07620395209892084,0.49305814504623413,0.03834338732359799,0.07620395209892084,0.06905055487053025,0.013456069864332676,0.26075061009807027,2135,811
ciciot2023,0.8,Benign,xgb,7,4,0.897229015827179,0.9501508175900937,0.9538775510204082,-0.0037267334303144883,-0.00015081759009372142,-0.0038775510204082098,0.014028077019027918,0.49741998314857483,0.014028077019027918,0.00992227467268858,0.046122448979591835,-0.010345195420086495,0.2656624586006681,6299,2450
ciciot2023,0.8,BruteForce,xgb,7,4,0.986702274531126,0.9511305616338439,0.952561669829222,-0.0014311081953780613,-0.0011305616338439517,-0.002561669829222013,0.030515544962955887,0.49928975105285645,0.011134686104271596,0.030515544962955887,0.04743833017077803,-0.0006093408912419829,0.04689767779390289,1371,527
ciciot2023,0.8,DDoS,xgb,7,4,0.5,0.99966411589462,0.9996906897618311,-2.6573867211054925e-05,-0.04966411589462005,-0.04969068976183111,0.0001493882264840428,0.48064011335372925,0.0001493882264840428,0.00013227082553279867,0.0003093102381689361,0.0,0.17788461538428843,68476,25864
ciciot2023,0.8,DoS,xgb,7,4,0.5,0.9991671624033314,0.9995854922279793,-0.0004183298246479561,-0.04916716240333141,-0.049585492227979366,0.0008583384961866804,0.4991918206214905,0.0008583384961866804,0.0004183298246479561,0.000414507772020678,0.0,0.4873716214599017,25215,9650
ciciot2023,0.8,Mirai,xgb,7,4,0.5,0.9997889516171582,1.0,-0.00021104838284180527,-0.04978895161715824,-0.050000000000000044,0.0003375433527755111,0.49906542897224426,0.00010552419142088324,0.0003375433527755111,0.0,0.0,0.6252482269504699,18953,7163
ciciot2023,0.8,Recon,xgb,7,4,0.5544160008430481,0.9501192799826502,0.9508401453224341,-0.0007208653397838827,-0.00011927998265026662,-0.0008401453224341493,0.011186051362781946,0.4999655485153198,0.011186051362781946,0.0018671734514728033,0.049159854677565895,-0.017493579536678072,0.06444323527624185,23055,8808
ciciot2023,0.8,Spoofing,xgb,7,4,0.7981508821249008,0.9501391650099403,0.9464776814046965,0.003661483605243876,-0.0001391650099403785,0.0035223185953034974,0.026691435899096616,0.49999871850013733,0.026691435899096616,0.003652466415805966,0.05352231859530354,0.011292429268360049,0.137178217728174,12575,4727
ciciot2023,0.8,Web,xgb,7,4,0.9591958019882441,0.9508196721311475,0.9519112207151664,-0.001091548584018942,-0.0008196721311475308,-0.0019112207151664728,0.07358308041940875,0.49732619524002075,0.03787500324865656,0.07358308041940875,0.04808877928483357,-0.0021083392202854156,0.014834233329147607,2135,811
ciciot2023,0.8,Benign,xgb,88,0,0.901826448738575,0.950309572948087,0.9491169049621531,0.0011926679859339817,-0.000309572948087089,0.0008830950378468927,0.010175363918952782,0.3294527232646942,0.009201001240267903,0.010175363918952782,0.05088309503784694,0.002160415239632174,0.11721133469364185,6299,2378
ciciot2023,0.8,BruteForce,xgb,88,0,0.9857766218483448,0.9511305616338439,0.950530035335689,0.0006005262981548798,-0.0011305616338439517,-0.0005300353356890719,0.04082032407801173,0.49990716576576233,0.023051962277670035,0.04082032407801173,0.04946996466431097,-7.353862747550011e-05,0.014711453466347153,1371,566
