realization,rung,arch,seed,n_novel,n_seen,KS_all,KS_novel,KS_seen,median_novel_minus_src,misroute_all,misroute_novel,misroute_seen
1,0.2,xgb,42,162,649,0.0369,0.1505,0.028,-0.0124,0.3995,0.4012,0.3991
1,0.2,xgb,512,162,649,0.0404,0.1141,0.0315,-0.0131,0.3884,0.4198,0.3806
1,0.2,xgb,6021,162,649,0.0422,0.1254,0.027,-0.0069,0.4205,0.4444,0.4145
1,0.2,xgb,7,162,649,0.0292,0.0788,0.0263,-0.0036,0.4266,0.463,0.4176
1,0.2,xgb,88,162,649,0.031,0.0939,0.0275,-0.003,0.4118,0.4506,0.4022
1,0.2,xgb,91,162,649,0.0279,0.0966,0.0319,-0.0051,0.4007,0.4321,0.3929
1,0.4,mlp,12345,324,487,0.0558,0.106,0.0532,-0.0304,0.7411,0.7469,0.7372
1,0.4,mlp,1337,324,487,0.0362,0.068,0.0293,-0.0141,0.7522,0.8056,0.7166
1,0.4,mlp,2024,324,487,0.0391,0.0911,0.0403,0.0139,0.7842,0.8395,0.7474
1,0.4,mlp,3407,324,487,0.0753,0.1502,0.0335,-0.0842,0.6757,0.6574,0.6879
1,0.4,mlp,42,324,487,0.0511,0.1037,0.0345,0.0013,0.7004,0.7006,0.7002
1,0.4,mlp,512,324,487,0.0463,0.0681,0.0398,0.0017,0.7756,0.8241,0.7433
1,0.4,mlp,6021,324,487,0.0445,0.099,0.028,-0.0051,0.8274,0.8796,0.7926
1,0.4,mlp,7,324,487,0.0508,0.1203,0.0331,-0.016,0.6831,0.6821,0.6838
1,0.4,mlp,88,324,487,0.0525,0.1273,0.0356,0.0118,0.8397,0.9198,0.7864
1,0.4,mlp,91,324,487,0.0343,0.063,0.0241,-0.0017,0.7793,0.821,0.7515
1,0.4,rf,12345,324,487,0.0664,0.1007,0.0494,-0.0405,0.4081,0.3951,0.4168
1,0.4,rf,1337,324,487,0.0573,0.1126,0.0328,-0.0402,0.4131,0.3951,0.4251
1,0.4,rf,2024,324,487,0.0444,0.0885,0.0275,-0.0406,0.4205,0.4074,0.4292
1,0.4,rf,3407,324,487,0.0343,0.0749,0.0267,-0.0297,0.4291,0.4228,0.4333
1,0.4,rf,42,324,487,0.0341,0.0823,0.0269,-0.0303,0.4131,0.4136,0.4127
1,0.4,rf,512,324,487,0.0643,0.0984,0.0538,-0.0299,0.4106,0.4167,0.4066
1,0.4,rf,6021,324,487,0.0439,0.0751,0.0343,-0.0427,0.4303,0.429,0.4312
1,0.4,rf,7,324,487,0.0407,0.066,0.0402,-0.0282,0.4328,0.4352,0.4312
1,0.4,rf,88,324,487,0.0457,0.1006,0.0301,-0.0348,0.4316,0.4228,0.4374
1,0.4,rf,91,324,487,0.0677,0.1323,0.0379,-0.0527,0.4192,0.3951,0.4353
1,0.4,xgb,12345,324,487,0.0346,0.099,0.0541,-0.0031,0.3995,0.4043,0.3963
1,0.4,xgb,1337,324,487,0.0374,0.1254,0.0355,-0.0099,0.3859,0.4043,0.3737
1,0.4,xgb,2024,324,487,0.0381,0.1188,0.033,-0.0045,0.4069,0.4198,0.3984
1,0.4,xgb,3407,324,487,0.0352,0.0978,0.0296,-0.0033,0.4118,0.4352,0.3963
1,0.4,xgb,42,324,487,0.0384,0.1244,0.0475,-0.006,0.3884,0.392,0.386
1,0.4,xgb,512,324,487,0.028,0.0928,0.0299,-0.0074,0.3946,0.4228,0.3758
1,0.4,xgb,6021,324,487,0.0333,0.0827,0.03,-0.0036,0.4242,0.4599,0.4004
1,0.4,xgb,7,324,487,0.028,0.1143,0.0491,-0.0068,0.4143,0.429,0.4045
1,0.4,xgb,88,324,487,0.0289,0.085,0.0417,-0.003,0.4143,0.4352,0.4004
1,0.4,xgb,91,324,487,0.0335,0.1326,0.0468,-0.0052,0.3909,0.392,0.3901
1,0.6,mlp,12345,487,324,0.0602,0.106,0.051,-0.024,0.7596,0.7454,0.7809
1,0.6,mlp,1337,487,324,0.0524,0.0895,0.0518,-0.0275,0.767,0.7598,0.7778
1,0.6,mlp,2024,487,324,0.056,0.0653,0.0511,-0.0015,0.8039,0.8152,0.787
1,0.6,mlp,3407,487,324,0.1109,0.1671,0.0448,-0.0733,0.6695,0.6468,0.7037
1,0.6,mlp,42,487,324,0.0477,0.0917,0.054,0.0005,0.7398,0.731,0.7531
1,0.6,mlp,512,487,324,0.041,0.0697,0.0546,-0.012,0.7965,0.8049,0.784
1,0.6,mlp,6021,487,324,0.0681,0.0811,0.0512,-0.0066,0.857,0.8706,0.8364
1,0.6,mlp,7,487,324,0.0689,0.1063,0.0375,-0.018,0.6905,0.6817,0.7037
1,0.6,mlp,88,487,324,0.0902,0.1097,0.0659,0.0056,0.873,0.8973,0.8364
1,0.6,mlp,91,487,324,0.0363,0.0653,0.0337,-0.0049,0.7916,0.8029,0.7747
1,0.6,rf,12345,487,324,0.0837,0.1403,0.0554,-0.0543,0.418,0.3778,0.4784
1,0.6,rf,1337,487,324,0.0551,0.1056,0.0744,-0.0419,0.4328,0.4025,0.4784
1,0.6,rf,2024,487,324,0.0483,0.0943,0.0662,-0.0442,0.4439,0.4127,0.4907
1,0.6,rf,3407,487,324,0.0448,0.0857,0.0645,-0.0338,0.4402,0.4086,0.4877
1,0.6,rf,42,487,324,0.0544,0.1017,0.066,-0.0338,0.4303,0.4025,0.4722
1,0.6,rf,512,487,324,0.0509,0.1014,0.0616,-0.0339,0.4427,0.4148,0.4846
1,0.6,rf,6021,487,324,0.0621,0.1009,0.0613,-0.0448,0.434,0.4127,0.466
1,0.6,rf,7,487,324,0.0375,0.0709,0.0704,-0.0323,0.4624,0.4353,0.5031
1,0.6,rf,88,487,324,0.0604,0.1093,0.0603,-0.0433,0.4525,0.4251,0.4938
1,0.6,rf,91,487,324,0.0772,0.1265,0.0649,-0.0546,0.4328,0.4004,0.4815
1,0.6,xgb,12345,487,324,0.0576,0.1065,0.0402,-0.0031,0.4229,0.4189,0.429
1,0.6,xgb,1337,487,324,0.0822,0.1213,0.0423,-0.0103,0.4106,0.4148,0.4043
1,0.6,xgb,2024,487,324,0.0883,0.1435,0.0355,-0.0138,0.418,0.4127,0.4259
1,0.6,xgb,3407,487,324,0.0978,0.1355,0.0451,-0.0086,0.4279,0.4312,0.4228
1,0.6,xgb,42,487,324,0.104,0.1529,0.038,-0.0148,0.3933,0.3881,0.4012
1,0.6,xgb,512,487,324,0.0745,0.105,0.0306,-0.0078,0.3983,0.4045,0.3889
1,0.6,xgb,6021,487,324,0.0743,0.1228,0.0454,-0.0036,0.4402,0.4394,0.4414
1,0.6,xgb,7,487,324,0.0729,0.1181,0.0344,-0.007,0.4291,0.4374,0.4167
1,0.6,xgb,88,487,324,0.0543,0.0871,0.0356,-0.003,0.4328,0.4435,0.4167
1,0.6,xgb,91,487,324,0.0728,0.1165,0.0498,-0.0071,0.4069,0.4086,0.4043
1,0.8,mlp,12345,649,162,0.0838,0.1137,0.0607,-0.0348,0.7386,0.7257,0.7901
1,0.8,mlp,1337,649,162,0.0696,0.0902,0.0532,-0.0213,0.7657,0.7627,0.7778
1,0.8,mlp,2024,649,162,0.0718,0.0789,0.0682,-0.0055,0.8224,0.8305,0.7901
1,0.8,mlp,3407,649,162,0.12,0.1489,0.0854,-0.047,0.6806,0.6672,0.7346
