dataset,realization,seed,arch,protocol,class,alpha,coverage,set_size,nominal
cicids2017,R1_holdout_Slowhttptest,7,xgb,REC,Benign,0.2,0.8014,0.8015,0.8
cicids2017,R1_holdout_Slowhttptest,7,xgb,REC,DoS,0.2,0.8015,0.8278,0.8
cicids2017,R1_holdout_Slowhttptest,7,xgb,TSC,Benign,0.05,0.9504,0.9505,0.95
cicids2017,R1_holdout_Slowhttptest,7,xgb,TSC,DoS,0.05,0.9521,0.9825,0.95
cicids2017,R1_holdout_Slowhttptest,7,xgb,TSC,Benign,0.1,0.9005,0.9006,0.9
cicids2017,R1_holdout_Slowhttptest,7,xgb,TSC,DoS,0.1,0.9026,0.9319,0.9
cicids2017,R1_holdout_Slowhttptest,7,xgb,TSC,Benign,0.2,0.8004,0.8005,0.8
cicids2017,R1_holdout_Slowhttptest,7,xgb,TSC,DoS,0.2,0.8163,0.8426,0.8
cicids2017,R1_holdout_Slowhttptest,7,xgb,SHC,Benign,0.05,0.951,0.9511,0.95
cicids2017,R1_holdout_Slowhttptest,7,xgb,SHC,DoS,0.05,0.9233,0.9537,0.95
cicids2017,R1_holdout_Slowhttptest,7,xgb,SHC,Benign,0.1,0.9013,0.9014,0.9
cicids2017,R1_holdout_Slowhttptest,7,xgb,SHC,DoS,0.1,0.8748,0.9041,0.9
cicids2017,R1_holdout_Slowhttptest,7,xgb,SHC,Benign,0.2,0.8011,0.8012,0.8
cicids2017,R1_holdout_Slowhttptest,7,xgb,SHC,DoS,0.2,0.782,0.8081,0.8
cicids2017,R1_holdout_Slowhttptest,7,mlp,REC,Benign,0.05,0.9501,0.9732,0.95
cicids2017,R1_holdout_Slowhttptest,7,mlp,REC,DoS,0.05,0.9528,1.2042,0.95
cicids2017,R1_holdout_Slowhttptest,7,mlp,REC,Benign,0.1,0.8999,0.9039,0.9
cicids2017,R1_holdout_Slowhttptest,7,mlp,REC,DoS,0.1,0.903,1.1269,0.9
cicids2017,R1_holdout_Slowhttptest,7,mlp,REC,Benign,0.2,0.8003,0.8006,0.8
cicids2017,R1_holdout_Slowhttptest,7,mlp,REC,DoS,0.2,0.798,0.9639,0.8
cicids2017,R1_holdout_Slowhttptest,7,mlp,TSC,Benign,0.05,0.9501,0.972,0.95
cicids2017,R1_holdout_Slowhttptest,7,mlp,TSC,DoS,0.05,0.9523,1.2039,0.95
cicids2017,R1_holdout_Slowhttptest,7,mlp,TSC,Benign,0.1,0.8999,0.9042,0.9
cicids2017,R1_holdout_Slowhttptest,7,mlp,TSC,DoS,0.1,0.8991,1.1231,0.9
cicids2017,R1_holdout_Slowhttptest,7,mlp,TSC,Benign,0.2,0.8008,0.8011,0.8
cicids2017,R1_holdout_Slowhttptest,7,mlp,TSC,DoS,0.2,0.7894,0.9556,0.8
cicids2017,R1_holdout_Slowhttptest,7,mlp,SHC,Benign,0.05,0.95,0.9504,0.95
cicids2017,R1_holdout_Slowhttptest,7,mlp,SHC,DoS,0.05,0.8564,1.1082,0.95
cicids2017,R1_holdout_Slowhttptest,7,mlp,SHC,Benign,0.1,0.9003,0.9007,0.9
cicids2017,R1_holdout_Slowhttptest,7,mlp,SHC,DoS,0.1,0.8171,1.0415,0.9
cicids2017,R1_holdout_Slowhttptest,7,mlp,SHC,Benign,0.2,0.8013,0.8016,0.8
cicids2017,R1_holdout_Slowhttptest,7,mlp,SHC,DoS,0.2,0.7457,0.912,0.8
cicids2017,R1_holdout_Slowhttptest,91,rf,REC,Benign,0.05,0.9498,0.9505,0.95
cicids2017,R1_holdout_Slowhttptest,91,rf,REC,DoS,0.05,0.9589,1.1964,0.95
cicids2017,R1_holdout_Slowhttptest,91,rf,REC,Benign,0.1,0.9008,0.9012,0.9
cicids2017,R1_holdout_Slowhttptest,91,rf,REC,DoS,0.1,0.9047,1.1262,0.9
cicids2017,R1_holdout_Slowhttptest,91,rf,REC,Benign,0.2,0.8013,0.8014,0.8
cicids2017,R1_holdout_Slowhttptest,91,rf,REC,DoS,0.2,0.7986,0.9873,0.8
cicids2017,R1_holdout_Slowhttptest,91,rf,TSC,Benign,0.05,0.9498,0.9504,0.95
cicids2017,R1_holdout_Slowhttptest,91,rf,TSC,DoS,0.05,0.9484,1.1857,0.95
cicids2017,R1_holdout_Slowhttptest,91,rf,TSC,Benign,0.1,0.9003,0.9008,0.9
cicids2017,R1_holdout_Slowhttptest,91,rf,TSC,DoS,0.1,0.9079,1.1292,0.9
cicids2017,R1_holdout_Slowhttptest,91,rf,TSC,Benign,0.2,0.8,0.8001,0.8
cicids2017,R1_holdout_Slowhttptest,91,rf,TSC,DoS,0.2,0.8162,1.0042,0.8
cicids2017,R1_holdout_Slowhttptest,91,rf,SHC,Benign,0.05,0.9506,0.9508,0.95
cicids2017,R1_holdout_Slowhttptest,91,rf,SHC,DoS,0.05,0.8736,1.1112,0.95
cicids2017,R1_holdout_Slowhttptest,91,rf,SHC,Benign,0.1,0.9016,0.9017,0.9
cicids2017,R1_holdout_Slowhttptest,91,rf,SHC,DoS,0.1,0.8053,1.027,0.9
cicids2017,R1_holdout_Slowhttptest,91,rf,SHC,Benign,0.2,0.8017,0.8018,0.8
cicids2017,R1_holdout_Slowhttptest,91,rf,SHC,DoS,0.2,0.7176,0.9066,0.8
cicids2017,R1_holdout_Slowhttptest,91,xgb,REC,Benign,0.05,0.95,0.9502,0.95
cicids2017,R1_holdout_Slowhttptest,91,xgb,REC,DoS,0.05,0.9567,0.9879,0.95
cicids2017,R1_holdout_Slowhttptest,91,xgb,REC,Benign,0.1,0.9003,0.9005,0.9
cicids2017,R1_holdout_Slowhttptest,91,xgb,REC,DoS,0.1,0.9039,0.9339,0.9
cicids2017,R1_holdout_Slowhttptest,91,xgb,REC,Benign,0.2,0.8,0.8001,0.8
cicids2017,R1_holdout_Slowhttptest,91,xgb,REC,DoS,0.2,0.7919,0.8186,0.8
cicids2017,R1_holdout_Slowhttptest,91,xgb,TSC,Benign,0.05,0.9505,0.9506,0.95
cicids2017,R1_holdout_Slowhttptest,91,xgb,TSC,DoS,0.05,0.9536,0.9848,0.95
cicids2017,R1_holdout_Slowhttptest,91,xgb,TSC,Benign,0.1,0.9009,0.901,0.9
cicids2017,R1_holdout_Slowhttptest,91,xgb,TSC,DoS,0.1,0.9004,0.9303,0.9
cicids2017,R1_holdout_Slowhttptest,91,xgb,TSC,Benign,0.2,0.8006,0.8007,0.8
cicids2017,R1_holdout_Slowhttptest,91,xgb,TSC,DoS,0.2,0.8034,0.8301,0.8
cicids2017,R1_holdout_Slowhttptest,91,xgb,SHC,Benign,0.05,0.9503,0.9504,0.95
cicids2017,R1_holdout_Slowhttptest,91,xgb,SHC,DoS,0.05,0.9296,0.9608,0.95
cicids2017,R1_holdout_Slowhttptest,91,xgb,SHC,Benign,0.1,0.9001,0.9002,0.9
cicids2017,R1_holdout_Slowhttptest,91,xgb,SHC,DoS,0.1,0.8791,0.909,0.9
cicids2017,R1_holdout_Slowhttptest,91,xgb,SHC,Benign,0.2,0.8,0.8,0.8
cicids2017,R1_holdout_Slowhttptest,91,xgb,SHC,DoS,0.2,0.7797,0.8064,0.8
cicids2017,R1_holdout_Slowhttptest,91,mlp,REC,Benign,0.05,0.9502,0.9612,0.95
cicids2017,R1_holdout_Slowhttptest,91,mlp,REC,DoS,0.05,0.9535,1.1014,0.95
cicids2017,R1_holdout_Slowhttptest,91,mlp,REC,Benign,0.1,0.9003,0.9009,0.9
cicids2017,R1_holdout_Slowhttptest,91,mlp,REC,DoS,0.1,0.9036,1.0383,0.9
cicids2017,R1_holdout_Slowhttptest,91,mlp,REC,Benign,0.2,0.8005,0.8008,0.8
cicids2017,R1_holdout_Slowhttptest,91,mlp,REC,DoS,0.2,0.8017,0.9253,0.8
cicids2017,R1_holdout_Slowhttptest,91,mlp,TSC,Benign,0.05,0.95,0.9623,0.95
cicids2017,R1_holdout_Slowhttptest,91,mlp,TSC,DoS,0.05,0.956,1.1041,0.95
cicids2017,R1_holdout_Slowhttptest,91,mlp,TSC,Benign,0.1,0.9007,0.9013,0.9
cicids2017,R1_holdout_Slowhttptest,91,mlp,TSC,DoS,0.1,0.9068,1.0418,0.9
cicids2017,R1_holdout_Slowhttptest,91,mlp,TSC,Benign,0.2,0.8001,0.8005,0.8
